OBJECTID,ADDRESS,NAME,LOCATION,TYPE,LONGITUDE,LATITUDE
19,180 WELLS STREET,GEORGE LEE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,GEORGE LEE SCHOOL,ATHLETIC FIELD,-104.64865604700,50.48862048740
20,180 WELLS STREET,GEORGE LEE SCHOOL - BALL DIAMOND BS #199,GEORGE LEE SCHOOL,BALL DIAMOND,-104.64882553400,50.48904678970
21,180 WELLS STREET,GEORGE LEE SCHOOL - BASKETBALL,GEORGE LEE SCHOOL,BASKETBALL,-104.64758224500,50.48898175550
22,180 WELLS ST,GEORGE LEE SCHOOL - PLAYGROUND 180 WELLS ST,GEORGE LEE SCHOOL,PLAYGROUND,-104.64733970600,50.48831977770
23,180 Wells St.,George Lee - Public Elementary School,George Lee - Public Elementary School,Public Elementary School,-104.64779847200,50.48872315190
24,6918 MAPLE BROOK CRESCENT,MAPLE RIDGE PARK - A - SPRAYPAD 6918 MAPLE BROOK CRES,MAPLE RIDGE PARK - A,SPRAYPAD,-104.67887049600,50.50303444400
25,3100 KINGS ROAD,LAKEVIEW PAR 3 GOLF COURSE - OUTDOOR TENNIS,LAKEVIEW PAR 3 GOLF COURSE,OUTDOOR TENNIS,-104.63842365800,50.42987663500
26,129 BROTHERTON AVE,DR. GEORGE FERGUSON PARK W - PLAYGROUND 129 BROTHERTON AVE,DR. GEORGE FERGUSON PARK W,PLAYGROUND,-104.55683910600,50.45138733150
27,129 BROTHERTON AVE,DR. GEORGE FERGUSON PARK E - PLAYGROUND 129 BROTHERTON AVE,DR. GEORGE FERGUSON PARK E,PLAYGROUND,-104.55606913600,50.45139614040
28,129 BROTHERTON AVE,DR. GEORGE FERGUSON PARK - BASKETBALL,DR. GEORGE FERGUSON PARK,BASKETBALL,-104.55608388300,50.45192363790
29,117 Brotherton Ave.,Dr. George Ferguson - Public Elementary School,Dr. George Ferguson - Public Elementary School,Public Elementary School,-104.55644402800,50.45134685950
30,615 6TH AVE,EASTVIEW NEIGHBOURHOOD CENTRE - REC_NBHD FACILITY,EASTVIEW NEIGHBOURHOOD CENTRE,REC_NBHD FACILITY,-104.58943496600,50.45960468010
31,3355 ROBINSON ST,ASSINIBOINE PARK - PLAYGROUND 3355 ROBINSON ST,ASSINIBOINE PARK,PLAYGROUND,-104.62293958900,50.42491347380
32,3355 ROBINSON ST,ASSINIBOINE PARK - OUTDOOR RINK SHELTER,ASSINIBOINE PARK,OUTDOOR RINK SHELTER,-104.62267578800,50.42507507790
33,3355 ROBINSON STREET,ASSINIBOINE PARK - OUTDOOR RINK UNBOARDED,ASSINIBOINE PARK,OUTDOOR RINK UNBOARDED,-104.62220435400,50.42500877780
34,156 SHANNON ROAD,RICHARDSON PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,RICHARDSON PARK,ATHLETIC FIELD,-104.61486687100,50.39838727710
35,2715 HELMSING STREET,SCHWEITZER PARK - BASKETBALL,SCHWEITZER PARK,BASKETBALL,-104.53817358900,50.43607592310
36,2715 HELMSING ST,SCHWEITZER PARK - PLAYGROUND 2715 HELMSING ST,SCHWEITZER PARK,PLAYGROUND,-104.53801772400,50.43595474010
37,2755 ELPHINSTONE ST,KIWANIS PARK - PLAYGROUND 2755 ELPHINSTONE ST,KIWANIS PARK,PLAYGROUND,-104.62958936900,50.43620563700
38,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK NW - BALL DIAMOND BS #50,KIWANIS WATERFALL PARK NW,BALL DIAMOND,-104.63023724900,50.43847841450
39,2755 ELPHINSTONE ST,KIWANIS WATERFALL PARK - SEASONAL WASHROOM,KIWANIS WATERFALL PARK,SEASONAL WASHROOM,-104.62915582400,50.43670214770
40,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK SE - BALL DIAMOND BS #48,KIWANIS WATERFALL PARK SE,BALL DIAMOND,-104.62906971800,50.43731421600
41,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK NE - BALL DIAMOND BS #49,KIWANIS WATERFALL PARK NE,BALL DIAMOND,-104.62945560000,50.43815933820
42,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK - PARK WATER FEATURE,KIWANIS WATERFALL PARK,PARK WATER FEATURE,-104.62880286900,50.43545764330
43,1912 E 7TH AVE,STEWART RUSSELL PARK - BASKETBALL,STEWART RUSSELL PARK,BASKETBALL,-104.55575855300,50.45927566650
44,1920 E 7TH AVENUE,STEWART RUSSELL SCHOOL SOUTH - BALL DIAMOND BS #111,STEWART RUSSELL SCHOOL SOUTH,BALL DIAMOND,-104.55509654800,50.45907023580
45,1920 E 7TH AVE,STEWART RUSSELL SCHOOL - PLAYGROUND 1920 E 7TH AVE,STEWART RUSSELL SCHOOL,PLAYGROUND,-104.55448654000,50.45888469440
46,6102 BRUNSKILL PL,A.E. WILSON PARK (EAST) - MOUNT ROYAL - PLAYGROUND 6102 BRUNSKILL PL,A.E. WILSON PARK (EAST) - MOUNT ROYAL,PLAYGROUND,-104.66793396100,50.45923754780
47,210 MCINTOSH ST,KEN JENKINS SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,KEN JENKINS SOCCER,ATHLETIC FIELD,-104.65634217500,50.47431274700
48,210 MCINTOSH STREET,KEN JENKINS MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,KEN JENKINS MULTI,ATHLETIC FIELD,-104.65574819700,50.47438074070
49,210 MCINTOSH STREET,KEN JENKINS SCHOOL - BALL DIAMOND BS #197,KEN JENKINS SCHOOL,BALL DIAMOND,-104.65771404500,50.47407083740
50,2015 9TH AVE N,NORTH EAST PARK NWW - BALL DIAMOND BS #280 (AKA=REGINA MINOR GIRLS BALL),NORTH EAST PARK NWW,BALL DIAMOND,-104.61052237500,50.48405823500
51,727 N MCINTOSH ST,ST. BERNADETTE SCHOOL - PLAYGROUND 727 N MCINTOSH ST,ST. BERNADETTE SCHOOL,PLAYGROUND,-104.65229285000,50.48875385340
52,727 N MCINTOSH STREET,ST. BERNADETTE SCHOOL - BASKETBALL,ST. BERNADETTE SCHOOL,BASKETBALL,-104.65170426600,50.48914963620
53,727 N MCINTOSH STREET,ST. BERNADETTE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,ST. BERNADETTE SCHOOL,ATHLETIC FIELD,-104.65116949000,50.48879724150
54,727 N MCINTOSH STREET,ST. BERNADETTE SCHOOL - BALL DIAMOND BS #205,ST. BERNADETTE SCHOOL,BALL DIAMOND,-104.65145827400,50.48850325350
55,727 N. McIntosh St.,St. Bernadette - Separate Elementary School,St. Bernadette - Separate Elementary School,Separate Elementary School,-104.65185948500,50.48879924400
56,45 MIKKELSON DR,ST. FRANCIS SCHOOL - BASKETBALL,ST. FRANCIS SCHOOL,BASKETBALL,-104.66505040500,50.46513111470
57,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL SW - BALL DIAMOND BS #143,ST. FRANCIS SCHOOL SW,BALL DIAMOND,-104.66648639200,50.46429973760
58,45 MIKKELSON DR,ST. FRANCIS SCHOOL W - PLAYGROUND 45 MIKKELSON DR,ST. FRANCIS SCHOOL W,PLAYGROUND,-104.66616168400,50.46483158200
59,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL SE - BALL DIAMOND BS #142,ST. FRANCIS SCHOOL SE,BALL DIAMOND,-104.66486315200,50.46430242420
60,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,ST. FRANCIS SCHOOL,ATHLETIC FIELD,-104.66580004000,50.46455686910
61,45 MIKKELSON DR,ST. FRANCIS SCHOOL NE - PLAYGROUND 45 MIKKELSON DR,ST. FRANCIS SCHOOL NE,PLAYGROUND,-104.66478039900,50.46510671880
62,45 MIKKELSON DR,ST. FRANCIS SCHOOL SE - PLAYGROUND 45 MIKKELSON DR,ST. FRANCIS SCHOOL SE,PLAYGROUND,-104.66507714000,50.46497417680
63,45 Mikkelson Dr.,St. Francis - Separate Elementary School,St. Francis - Separate Elementary School,Separate Elementary School,-104.66563604800,50.46482295370
64,6208 SHERWOOD DRIVE,RUTH BUCK PARK - BALL DIAMOND BS #192,RUTH BUCK PARK,BALL DIAMOND,-104.67383219100,50.47947058500
65,280 SANGSTER BLVD,ST. TIMOTHY SCHOOL - PLAYGROUND 280 SANGSTER BLVD,ST. TIMOTHY SCHOOL,PLAYGROUND,-104.63240586500,50.49127821570
66,280 SANGSTER BOULEVARD,ST. TIMOTHY SCHOOL - BALL DIAMOND BS #264,ST. TIMOTHY SCHOOL,BALL DIAMOND,-104.63257265000,50.49064727740
67,126 SANGSTER BLVD,ST TIMOTHY SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,ST TIMOTHY SOCCER,ATHLETIC FIELD,-104.63358945900,50.49066201220
68,280 SANGSTER BOULEVARD,ST. TIMOTHY SCHOOL - BASKETBALL,ST. TIMOTHY SCHOOL,BASKETBALL,-104.63249774100,50.49104285700
69,280 SANGSTER BOULEVARD,ST. TIMOTHY MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,ST. TIMOTHY MULTI,ATHLETIC FIELD,-104.63359015900,50.49065933790
70,280 Sangster Blvd.,St. Timothy - Separate Elementary School,St. Timothy - Separate Elementary School,Separate Elementary School,-104.63279800500,50.49092575450
71,10 NORRIS ROAD,BIRCHWOOD PARK NW - BALL DIAMOND BS #4,BIRCHWOOD PARK NW,BALL DIAMOND,-104.60246382100,50.40107816780
72,10 NORRIS ROAD,BIRCHWOOD PARK SE - BALL DIAMOND BS #3,BIRCHWOOD PARK SE,BALL DIAMOND,-104.60182202900,50.40069515910
73,2155 COLLEGE AVENUE,University of Regina - College Ave. Campus,University of Regina - College Ave. Campus,Other School,-104.61017814500,50.43955392300
74,2155 COLLEGE AVENUE,UNIVERSITY OF REGINA COLLEGE AVE CAMPUS,Wascana Centre,Wascana Centre,-104.61099705900,50.44003311800
75,710 GRAHAM RD,HENRY BRAUN PARK E - BALL DIAMOND BS #112,HENRY BRAUN PARK E,BALL DIAMOND,-104.53284066900,50.46166565500
76,195 WINDFIELD RD,ST. DOMINIC SAVIO SCHOOL - PLAYGROUND 195 WINDFIELD RD,ST. DOMINIC SAVIO SCHOOL,PLAYGROUND,-104.56237661200,50.43213114710
77,195 WINDFIELD ROAD,ST. DOMINIC SAVIO SCHOOL - BALL DIAMOND BS #82,ST. DOMINIC SAVIO SCHOOL,BALL DIAMOND,-104.56193120200,50.43187850200
78,195 Windfield Rd.,St. Dominic Savio - Separate Elementary School,St. Dominic Savio - Separate Elementary School,Separate Elementary School,-104.56281642500,50.43165417840
79,3310 LAKEVIEW AVENUE,KINSMEN SOUTH SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,KINSMEN SOUTH SOCCER,ATHLETIC FIELD,-104.63097614000,50.42321020030
80,3310 LAKEVIEW AVE,KINSMEN PARK SOUTH - SEASONAL WASHROOM,KINSMEN PARK SOUTH,SEASONAL WASHROOM,-104.63262269600,50.42347355080
81,3310 LAKEVIEW AVE,KINSMEN PARK SOUTH - PLAYGROUND 3310 LAKEVIEW AVE,KINSMEN PARK SOUTH,PLAYGROUND,-104.63164831500,50.42379229880
82,3310 LAKEVIEW AVENUE,KINSMEN PARK SOUTH - BALL DIAMOND BS #42,KINSMEN PARK SOUTH,BALL DIAMOND,-104.62945995400,50.42285176390
83,3310 LAKEVIEW AVE,KINSMEN SOUTH SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,KINSMEN SOUTH SOCCER,ATHLETIC FIELD,-104.63097913200,50.42317831560
84,3310 LAKEVIEW AVENUE,KINSMEN PARK SOUTH - SPRAYPAD 3310 LAKEVIEW AVE,KINSMEN PARK SOUTH,SPRAYPAD,-104.63220347100,50.42387491120
85,3211 ALBERT STREET,PROVINCIAL OFFICE BUILDING AND LABORATORY,Wascana Centre,Wascana Centre,-104.61514185200,50.42728583850
86,1401 ROBINSON ST.,ALBERT BRANCH LIBRARY,ALBERT BRANCH LIBRARY,Library,-104.62353604100,50.45654237120
87,150 ARGYLE ST,ST. PETER SCHOOL - PLAYGROUND 150 ARGYLE ST,ST. PETER SCHOOL,PLAYGROUND,-104.63369405200,50.47641161950
88,150 ARGYLE STREET,ST. PETER SCHOOL - BALL DIAMOND BS #260,ST. PETER SCHOOL,BALL DIAMOND,-104.63509601900,50.47617235020
89,150 Argyle St.,St. Peter - Separate Elementary School,St. Peter - Separate Elementary School,Separate Elementary School,-104.63411533800,50.47646940320
90,160 BROAD ST.,NORTH EAST COMMUNITY CENTRE - REC_NBHD FACILITY,NORTH EAST COMMUNITY CENTRE,REC_NBHD FACILITY,-104.60703603700,50.47636208490
91,150 BROTHERTON AVENUE,ST. CATHERINE SCHOOL - BASKETBALL,ST. CATHERINE SCHOOL,BASKETBALL,-104.55431491900,50.45313870750
92,150 BROTHERTON AVE,ST. CATHERINE SCHOOL - PLAYGROUND 150 BROTHERTON AVE,ST. CATHERINE SCHOOL,PLAYGROUND,-104.55434679100,50.45273086050
93,150 BROTHERTON AVENUE,ST. CATHERINE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,ST. CATHERINE SCHOOL,ATHLETIC FIELD,-104.55396035900,50.45356581290
94,150 Brotherton Ave.,St. Catherine - Separate Elementary School,St. Catherine - Separate Elementary School,Separate Elementary School,-104.55380942500,50.45306752510
95,1201 ROTHWELL STREET,ROTHWELL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,ROTHWELL,ATHLETIC FIELD,-104.56938598100,50.45872304570
96,1201 ROTHWELL ST,ROTHWELL PARK - PLAYGROUND 1201 ROTHWELL ST,ROTHWELL PARK,PLAYGROUND,-104.57010764900,50.45867302130
97,2255 COLLEGE AVENUE,DARKE HALL,Wascana Centre,Wascana Centre,-104.61224296100,50.43993899260
98,170 FUHRMANN CRESCENT,FUHRMANN PARK - OUTDOOR RINK UNBOARDED,FUHRMANN PARK,OUTDOOR RINK UNBOARDED,-104.65778703900,50.48710686030
99,170 FUHRMANN CRESCENT,FUHRMANN PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,FUHRMANN PARK,ATHLETIC FIELD,-104.65757219200,50.48715764540
100,170 FUHRMANN CRES,FUHRMANN PARK - OUTDOOR RINK SHELTER,FUHRMANN PARK,OUTDOOR RINK SHELTER,-104.65788857700,50.48700505620
101,770 RINK AVENUE,ST. JEROME SCHOOL - BASKETBALL,ST. JEROME SCHOOL,BASKETBALL,-104.68144492500,50.48853531730
102,770 RINK AVE,ST. JEROME SCHOOL - PLAYGROUND 770 RINK AVE,ST. JEROME SCHOOL,PLAYGROUND,-104.68145446600,50.48824644560
103,770 Rink Ave.,St. Jerome - Separate Elementary School,St. Jerome - Separate Elementary School,Separate Elementary School,-104.68178395500,50.48846800700
104,2405 LEGISLATIVE DRIVE,LEGISLATIVE BUILDING,Wascana Centre,Wascana Centre,-104.61514642600,50.43246317220
105,2640 31st Ave,Fire Hall No. 3,TOM YARNTON Fire Hall,Fire,-104.61945014400,50.41045560120
106,901 PRINCESS ST,PARKDALE PARK - PLAYGROUND 901 PRINCESS ST,PARKDALE PARK,PLAYGROUND,-104.63441151900,50.46348509910
107,901 PRINCESS STREET,PARKDALE PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,PARKDALE PARK,ATHLETIC FIELD,-104.63504717100,50.46351822010
108,901 PRINCESS STREET,PARKDALE PARK - BALL DIAMOND BS #155,PARKDALE PARK,BALL DIAMOND,-104.63434929800,50.46428711920
109,3475 ALBERT STREET,TC DOUGLAS BUILDING AND MACKENZIE ART GALLERY,Wascana Centre,Wascana Centre,-104.61640319600,50.42513994250
110,1851 JUBILEE AVENUE,MCVEETY PARK - OUTDOOR RINK UNBOARDED,MCVEETY PARK,OUTDOOR RINK UNBOARDED,-104.60694682400,50.42052250150
111,1851 JUBILEE AVE,MCVEETY PARK - BALL DIAMOND,MCVEETY PARK,BALL DIAMOND,-104.60629331300,50.41974233590
112,38 TURGEON CRES,MARION MCVEETY SCHOOL - OUTDOOR RINK SHELTER,MARION MCVEETY SCHOOL,OUTDOOR RINK SHELTER,-104.60699583600,50.42080993890
113,1851 JUBILEE AVENUE,MCVEETY PARK - OUTDOOR RINK BOARDED,MCVEETY PARK,OUTDOOR RINK BOARDED,-104.60739543000,50.42049281950
114,1851 JUBILEE AVE,MCVEETY PARK - PLAYGROUND 1851 JUBILEE AVE,MCVEETY PARK,PLAYGROUND,-104.60660102900,50.42082970720
115,1851 JUBILEE AVENUE,MCVEETY PARK - BALL DIAMOND BS #29,MCVEETY PARK,BALL DIAMOND,-104.60728047900,50.41973262100
116,30 WILLISTON DRIVE,WILLISTON PARK  - ATHLETIC FIELD SOCCER ATHLETIC FIELD,WILLISTON PARK,ATHLETIC FIELD,-104.67909730400,50.48193069540
117,30 WILLISTON DRIVE,WILLISTON PARK - OUTDOOR RINK UNBOARDED,WILLISTON PARK,OUTDOOR RINK UNBOARDED,-104.67765575700,50.48128064220
118,30 WILLISTON DR,WILLISTON PARK - PLAYGROUND 30 WILLISTON DR,WILLISTON PARK,PLAYGROUND,-104.67831445500,50.48218635510
119,2828 E DEWDNEY AVE,JUDGE BRYANT SCHOOL - PLAYGROUND 2828 E DEWDNEY AVE,JUDGE BRYANT SCHOOL,PLAYGROUND,-104.54267342300,50.45595966780
120,2828 E DEWDNEY AVE,JUDGE BRYANT SCHOOL - BASKETBALL,JUDGE BRYANT SCHOOL,BASKETBALL,-104.54256578900,50.45613319000
121,2828 E. Dewdney Ave.,Judge Bryant - Public Elementary School,Judge Bryant - Public Elementary School,Public Elementary School,-104.54197670500,50.45561582650
122,126 SANGSTER BLVD,STAN OXELGREN PARK - PLAYGROUND 126 SANGSTER BLVD,STAN OXELGREN PARK,PLAYGROUND,-104.63510582300,50.48942366530
123,126 SANGSTER BOULEVARD,STAN OXELGREN PARK - OUTDOOR RINK UNBOARDED,STAN OXELGREN PARK,OUTDOOR RINK UNBOARDED,-104.63380869100,50.48964943790
124,126 SANGSTER BLVD,STAN OXELGREN PARK - OUTDOOR RINK SHELTER,STAN OXELGREN PARK,OUTDOOR RINK SHELTER,-104.63360827700,50.48995904850
125,126 SANGSTER BOULEVARD,STAN OXELGREN PARK - OUTDOOR RINK BOARDED,STAN OXELGREN PARK,OUTDOOR RINK BOARDED,-104.63330805200,50.48965790590
126,635 E DOUGLAS AVENUE,DOUGLAS PARK SCHOOL NE - BALL DIAMOND BS #64,DOUGLAS PARK SCHOOL NE,BALL DIAMOND,-104.57333162700,50.43194569340
127,635 E DOUGLAS AVENUE,DOUGLAS PARK SCHOOL - BASKETBALL,DOUGLAS PARK SCHOOL,BASKETBALL,-104.57488062300,50.43231665990
128,635 E DOUGLAS AVENUE,DOUGLAS PARK SCHOOL NW - BALL DIAMOND BS #63,DOUGLAS PARK SCHOOL NW,BALL DIAMOND,-104.57439365000,50.43195572180
129,621 E DOUGLAS AVE,DOUGLAS PARK SCHOOL N - PLAYGROUND 621 E DOUGLAS AVE,DOUGLAS PARK SCHOOL N,PLAYGROUND,-104.57467064400,50.43297281400
130,621 E DOUGLAS AVE,DOUGLAS PARK SCHOOL S - PLAYGROUND 621 E DOUGLAS AVE,DOUGLAS PARK SCHOOL S,PLAYGROUND,-104.57443125300,50.43257665940
131,635 E DOUGLAS AVENUE,DOUGLAS PARK SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,DOUGLAS PARK SCHOOL,ATHLETIC FIELD,-104.57374215200,50.43279137140
132,635 E. Douglas Ave.,Douglas Park - Public Elementary School,Douglas Park - Public Elementary School,Public Elementary School,-104.57435821000,50.43230219700
133,2707 E 7TH AVE,ST. THERESA SCHOOL S - PLAYGROUND 2707 E 7TH AVE,ST. THERESA SCHOOL S,PLAYGROUND,-104.54416211600,50.45795235270
134,2707 E 7TH AVE,ST. THERESA SCHOOL N - PLAYGROUND 2707 E 7TH AVE,ST. THERESA SCHOOL N,PLAYGROUND,-104.54400589700,50.45855263050
135,2707 E 7TH AVENUE,ST. THERESA SCHOOL - BASKETBALL,ST. THERESA SCHOOL,BASKETBALL,-104.54331550000,50.45803851090
136,2707 E 7TH AVENUE,ST. THERESA SCHOOL - BALL DIAMOND BS #86,ST. THERESA SCHOOL,BALL DIAMOND,-104.54392283300,50.45780516110
137,2707 E. 7th Ave.,St. Theresa - Separate Elementary School,St. Theresa - Separate Elementary School,Separate Elementary School,-104.54351268100,50.45824517580
138,1055 N MCINTOSH ST,FRENCH PARK - PLAYGROUND 1055 N MCINTOSH ST,FRENCH PARK,PLAYGROUND,-104.65208195900,50.49291231600
139,3215 LAKEVIEW AVENUE,L'ARCHE PARK/ARGYLE SCHOOL - BALL DIAMOND BS #1,L'ARCHE PARK/ARGYLE SCHOOL,BALL DIAMOND,-104.62674157800,50.42069856270
140,3215 LAKEVIEW AVENUE,L'ARCHE PARK/ARGYLE SCHOOL - BALL DIAMOND BS #2,L'ARCHE PARK/ARGYLE SCHOOL,BALL DIAMOND,-104.62701340600,50.42153590270
141,1101 8TH AVE N,DOVER PARK - PLAYGROUND 1101 8TH AVE N,DOVER PARK,PLAYGROUND,-104.59704736700,50.48313436470
142,8103 SHERWOOD DRIVE,WESTHILL PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,WESTHILL PARK,ATHLETIC FIELD,-104.69923806000,50.48043520360
143,8103 SHERWOOD DR,WESTHILL PARK - BASKETBALL,WESTHILL PARK,BASKETBALL,-104.69980777100,50.48008202230
144,8103 SHERWOOD DR,WESTHILL PARK - PLAYGROUND 8103 SHERWOOD DR,WESTHILL PARK,PLAYGROUND,-104.69769083600,50.48124481140
145,2606 GRANT ROAD,MIKE BADHAM PARK - OUTDOOR RINK BOARDED,MIKE BADHAM PARK,OUTDOOR RINK BOARDED,-104.61111430600,50.40164597940
146,2606 GRANT ROAD,MIKE BADHAM PARK - BALL DIAMOND BS #12,MIKE BADHAM PARK,BALL DIAMOND,-104.61037025700,50.40252476120
147,2501 GRANT RD,MIKE BADHAM PARK - OUTDOOR RINK SHELTER,MIKE BADHAM PARK,OUTDOOR RINK SHELTER,-104.61141294600,50.40173448030
148,2606 GRANT ROAD,MIKE BADHAM PARK - OUTDOOR RINK UNBOARDED,MIKE BADHAM PARK,OUTDOOR RINK UNBOARDED,-104.61070109500,50.40164301110
149,435 ELPHINSTONE STREET,PATRICIA PARK  - ATHLETIC FIELD SOCCER ATHLETIC FIELD,PATRICIA PARK,ATHLETIC FIELD,-104.63047631500,50.47123930670
150,40 Sheppard St.,Regina Huda - Public Elementary School,Regina Huda - Public Elementary School,Public Elementary School,-104.62445956600,50.48094617110
151,2202 8th Ave. N.,Harvest City Christian - Public Elementary School,Harvest City Christian - Public Elementary School,Public Elementary School,-104.61233183300,50.48261357540
152,390 DALGLIESH DR,HENRY JANZEN SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,HENRY JANZEN SOCCER,ATHLETIC FIELD,-104.65601497900,50.49044895250
153,107 ALBERT ST.,REGENT PLACE BRANCH LIBRARY,REGENT PLACE BRANCH LIBRARY,Library,-104.61732358000,50.47668494170
154,4055 15TH AVENUE,LES SHERMAN PARK NORTH - BALL DIAMOND BS #152,LES SHERMAN PARK NORTH,BALL DIAMOND,-104.64039254100,50.44213728760
155,4055 15TH AVENUE,LES SHERMAN PARK NORTH - BALL DIAMOND BS #153,LES SHERMAN PARK NORTH,BALL DIAMOND,-104.63897147100,50.44125970060
156,35 GROOME AVENUE,ARLINGTON - ATHLETIC FIELD SOCCER ATHLETIC FIELD,ARLINGTON,ATHLETIC FIELD,-104.62726929300,50.39936517710
157,2714 E SWAIN PLACE,JOLLY PARK - BASKETBALL,JOLLY PARK,BASKETBALL,-104.54491503400,50.43619264890
158,2714 E SWAIN PL,JOLLY PARK - PLAYGROUND 2714 E SWAIN PL,JOLLY PARK,PLAYGROUND,-104.54475976700,50.43599746160
159,1027 COLLEGE AVENUE,MILLER HIGH SCHOOL - OUTDOOR TENNIS,MILLER HIGH SCHOOL,OUTDOOR TENNIS,-104.59568972700,50.43892347930
160,1027 COLLEGE AVENUE,MILLER HIGH SCHOOL - BALL DIAMOND,MILLER HIGH SCHOOL,BALL DIAMOND,-104.59753047800,50.43909898680
161,1027 COLLEGE AVENUE,MILLER MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,MILLER MULTI,ATHLETIC FIELD,-104.59689390400,50.43881000370
162,1027 College Ave.,Miller Comprehensive High School - Separate High School,Miller Comprehensive High School - Separate High School,Separate High School,-104.59660307700,50.43965462090
